,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
67,DD201708167493382624426306711,E43A6E078A04228,9.0,9.0,68g好丽友巧克力派2枚,2017-06-30 15:34:00,C,已出货未退款,已提现,非饮料,饼干糕点
75,DD201708167493298031668322794,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-08-07 20:26:00,C,已出货未退款,已提现,非饮料,饼干糕点
76,DD201708167493439049880941281,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-08-08 17:35:00,C,已出货未退款,已提现,非饮料,饼干糕点
87,DD20170816749317281879000346,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-09-07 16:49:00,C,已出货未退款,已提现,非饮料,饼干糕点
100,DD201708167493641805147735338,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-09-20 08:55:00,C,已出货未退款,已提现,非饮料,饼干糕点
104,DD201708167493391479502561821,E43A6E078A04228,4.0,4.0,68g好丽友巧克力派2枚,2017-10-02 01:47:00,C,已出货未退款,已提现,非饮料,饼干糕点
106,DD201708167493395338205321117,E43A6E078A04228,7.0,7.0,68g好丽友巧克力派2枚,2017-10-02 16:14:00,C,已出货未退款,已提现,非饮料,饼干糕点
107,DD201708167493411354261100567,E43A6E078A04228,9.0,9.0,68g好丽友巧克力派2枚,2017-10-04 18:46:00,C,已出货未退款,已提现,非饮料,饼干糕点
110,DD201708167493429617706404895,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-10-07 13:14:00,C,已出货未退款,已提现,非饮料,饼干糕点
111,DD201708167493438192183106587,E43A6E078A04228,7.0,7.0,68g好丽友巧克力派2枚,2017-10-09 08:42:00,C,已出货未退款,已提现,非饮料,饼干糕点
132,DD201708167493624975058214628,E43A6E078A04228,9.0,9.0,68g好丽友巧克力派2枚,2017-10-27 15:41:00,C,已出货未退款,已提现,非饮料,饼干糕点
139,DD201708167493159125595747552,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-11-04 09:01:00,C,已出货未退款,已提现,非饮料,饼干糕点
143,DD2017081674930445115486753098,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-11-06 13:16:00,C,已出货未退款,已提现,非饮料,饼干糕点
149,DD201708167493183352015419216,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-11-11 17:03:00,C,已出货未退款,已提现,非饮料,饼干糕点
151,DD201708167493609418454087416,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-11-13 12:44:00,C,已出货未退款,已提现,非饮料,饼干糕点
158,DD201708167493736668800225262,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-12-01 17:40:00,C,已出货未退款,已提现,非饮料,饼干糕点
159,DD201708167493736780860594588,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-12-01 17:57:00,C,已出货未退款,已提现,非饮料,饼干糕点
160,DD201708167493740093725753493,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-12-01 21:06:00,C,已出货未退款,已提现,非饮料,饼干糕点
163,DD201708167493534442873062728,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-12-10 16:29:00,C,已出货未退款,已提现,非饮料,饼干糕点
165,DD201708167493345738079626002,E43A6E078A04228,3.5,3.5,68g好丽友巧克力派2枚,2017-12-12 01:24:00,C,已出货未退款,已提现,非饮料,饼干糕点
172,DD201708167493333189913207634,E43A6E078A04228,3.5,3.5,68g好丽友巧克力派2枚,2017-12-27 08:59:00,C,已出货未退款,已提现,非饮料,饼干糕点
176,DD2017081674930612078044876854,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-01-01 12:55:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
178,DD201708167493858245853502689,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 08:33:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
195,DD201708167493899145324421082,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-01-10 19:49:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
199,DD201708167493178683851107248,E43A6E078A04228,2.0,2.0,40g双汇玉米热狗肠,2017-01-29 19:05:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
203,DD201708167493665343550698518,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-01-30 15:58:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
217,DD201708167493728449285306181,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-03-31 23:39:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
229,DD201708167493314200070490846,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-12 23:09:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
238,DD2017081674930184753515473169,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-16 17:35:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
241,DD2017081674930211277761529198,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-04-17 15:35:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
242,DD2017081674930212840343916691,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-17 15:38:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
248,DD201708167493879212851640546,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-19 08:14:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
260,DD2017081674930408066930899989,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-24 07:17:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
261,DD201708167493042801397775661,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-25 06:24:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
263,DD201708167493845209329744222,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-26 15:38:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
264,DD2017081674930484565214492253,E43A6E078A04228,6.0,6.0,40g双汇玉米热狗肠,2017-04-27 07:34:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
266,DD2017081674930520675834280119,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-28 12:07:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
267,DD2017081674930520907478507836,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-04-28 12:13:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
295,DD2017081674930854513140901057,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-08 23:55:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
296,DD201708167493357936800360864,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-09 13:30:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
299,DD201708167493358358927342938,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-05-10 10:08:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
302,DD201708167493779545501377642,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-10 18:51:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
303,DD201708167493779422134754752,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-10 19:32:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
308,DD2017081674930967443565017409,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-12 15:54:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
321,DD201708167493105121586142888,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-15 15:23:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
322,DD20170816749310713504765616,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-05-15 22:17:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
329,DD201708167493113996555697397,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-05-18 07:40:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
341,DD201708167493120876889048369,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-05-19 23:12:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
357,DD201708167493136972910304882,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-23 07:55:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
359,DD201708167493140159027036773,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-23 14:26:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
366,DD201708167493144579320050348,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-24 10:07:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
367,DD201708167493144758527853124,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-24 11:14:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
368,DD20170816749314710971537163,E43A6E078A04228,4.5,4.5,40g双汇玉米热狗肠,2017-05-24 17:52:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
370,DD20170816749314812440403367,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-24 23:15:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
379,DD201708167493697120484727575,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-26 20:49:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
380,DD201708167493161451148223862,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-05-26 21:11:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
385,DD201708167493694876943996702,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-05-27 13:57:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
393,DD20170816749317165673077251,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-28 20:03:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
399,DD201708167493176750947935023,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-29 14:27:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
409,DD201708167493188612270416754,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-05-30 21:31:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
411,DD201708167493466182213051057,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-01 00:13:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
430,DD201708167493213728253214047,E43A6E078A04228,4.5,4.5,40g双汇玉米热狗肠,2017-06-04 10:05:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
434,DD201708167493387377809386156,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-04 14:48:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
440,DD201708167493218909687307952,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-06-04 20:34:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
443,DD201708167493221211160333472,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-05 03:27:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
445,DD201708167493223923704777303,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-05 15:27:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
448,DD201708167493383500842954101,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-06 09:10:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
449,DD201708167493227337877291129,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-06 09:36:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
450,DD201708167493390935698889089,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-06 16:54:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
457,DD201708167493233622457407511,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-07 11:40:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
458,DD201708167493436992556414894,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-07 11:50:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
492,DD201708167493251021179746844,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-10 07:49:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
499,DD201708167493258081318380008,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-11 01:54:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
524,DD201708167493267550807855491,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-12 07:24:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
543,DD201708167493907110271160445,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-13 08:51:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
550,DD201708167493279591713179279,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-06-14 02:11:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
552,DD201708167493280999896577055,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-14 11:02:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
554,DD201708167493908006330202409,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-14 12:26:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
555,DD201708167493281922239683556,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-14 14:55:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
580,DD201708167493295817614052966,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-16 16:52:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
582,DD201708167493914593023386057,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-16 20:18:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
584,DD201708167493596585456800286,E43A6E078A04228,6.0,6.0,40g双汇玉米热狗肠,2017-06-17 00:50:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
585,DD201708167493457907035637423,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-17 17:13:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
593,DD201708167493595029672452936,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-06-19 00:58:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
609,DD201708167493630026897213992,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-06-24 01:31:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
614,DD201708167493348346666358179,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-25 03:24:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
615,DD201708167493554593021363234,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-06-25 10:39:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
626,DD201708167493362051634115256,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-27 13:45:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
628,DD201708167493365738281341033,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-28 04:42:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
632,DD201708167493618949362986261,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-28 20:05:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
633,DD201708167493587829721756097,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-28 21:22:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
634,DD20170816749337048972890571,E43A6E078A04228,4.5,4.5,40g双汇玉米热狗肠,2017-06-28 21:55:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
636,DD201708167493371480312598696,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-06-29 02:06:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
638,DD201708167493546377932595434,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-06-29 19:51:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
639,DD201708167493379623988591555,E43A6E078A04228,6.0,6.0,40g双汇玉米热狗肠,2017-06-30 04:23:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
640,DD201708167493468593299873237,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-06-30 04:26:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
653,DD201708167493485459785622504,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-01 14:34:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
656,DD201708167493473581610262965,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-03 16:03:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
658,DD20170816749346899602241803,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-04 16:15:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
664,DD201708167493450045355935525,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-13 23:51:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
666,DD2017081674930346512728980469,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-24 11:51:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
668,DD201708167493433648498778036,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-07-24 14:58:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
673,DD201708167493430590016818581,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-25 15:24:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
675,DD201708167493744215569535058,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-26 14:03:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
676,DD201708167493809538450178702,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-26 14:47:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
678,DD201708167493423987865085505,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-07-30 03:45:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
698,DD201708167493917742858443925,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-08-14 17:10:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
728,DD201708167493784455362592314,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-08-25 17:44:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
740,DD20170816749300159570326526792,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-08-30 16:39:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
746,DD201708167493751614833553542,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-01 13:49:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
748,DD20170816749326621316429999,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-09-01 14:57:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
761,DD2017081674930324705544117157,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-03 16:59:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
772,DD201708167493781380855711377,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-09-06 22:48:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
782,DD201708167493229460713530019,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-09 21:04:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
794,DD20170816749310918477468616,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-13 09:07:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
801,DD2017081674930394445970944716,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-14 17:20:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
810,DD201708167493151044373977637,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-17 13:29:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
811,DD201708167493118852932002084,E43A6E078A04228,6.0,6.0,40g双汇玉米热狗肠,2017-09-17 14:36:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
813,DD201708167493644645597445487,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-17 17:51:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
836,DD201708167493764514878031312,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-09-24 00:15:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
847,DD201708167493479171141632626,E43A6E078A04228,10.5,10.5,40g双汇玉米热狗肠,2017-09-25 09:46:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
856,DD2017081674930435316301647692,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-27 19:49:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
860,DD201708167493147285219803054,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-28 18:29:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
861,DD2017081674930351362672783091,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-09-29 13:40:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
865,DD20170816749363193569185983,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-09-30 08:30:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
925,DD201708167493400765545740905,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-03 07:47:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
950,DD201708167493854062203738493,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-04 18:26:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
953,DD201708167493416208169672515,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-05 13:07:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
964,DD201708167493432784098076018,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-08 00:29:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
966,DD201708167493439128260432843,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-09 12:39:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
971,DD201708167493444599876241617,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-10 08:49:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
973,DD201708167493445579145296145,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-10-10 12:29:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
974,DD201708167493446152936350089,E43A6E078A04228,4.5,4.5,40g双汇玉米热狗肠,2017-10-10 15:02:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
977,DD201708167493446931971323996,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-10 16:40:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
978,DD201708167493447545985437162,E43A6E078A04228,3.0,3.0,40g双汇玉米热狗肠,2017-10-10 17:15:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
982,DD201708167493455540934528726,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-11 08:00:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
986,DD201708167493464408716043657,E43A6E078A04228,10.5,10.5,40g双汇玉米热狗肠,2017-10-12 00:19:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
994,DD201708167493473806588615015,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-12 19:50:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
995,DD201708167493478127391822105,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-12 22:45:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
998,DD201708167493448602335659908,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017-10-13 21:36:00,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
