,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
181,DD20170816749300882436594455082,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 16:22:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
182,DD201708167493870303785331698,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-01-09 17:36:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
183,DD201708167493871004548229048,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 17:55:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
185,DD201708167493872323867459236,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-01-09 19:04:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
187,DD20170816749388056230306838,E43A6E078A04172,4.5,4.5,40g双汇玉米热狗肠,2017-01-10 02:30:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
188,DD201708167493880922901258224,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-01-10 04:32:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
193,DD201708167493896893757573686,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-01-10 18:49:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
197,DD201708167493667101367618399,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-01-27 01:31:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
198,DD201708167493175353879618402,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-01-29 11:13:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
201,DD201708167493181655531118281,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-01-30 00:06:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
209,DD201708167493657421616784941,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-03-29 12:02:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
211,DD201708167493697591988720204,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-03-30 21:08:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
212,DD201708167493539350220999782,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-03-30 21:12:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
218,DD201708167493728514073295933,E43A6E078A04172,4.5,4.5,40g双汇玉米热狗肠,2017-03-31 23:45:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
219,DD201708167493917697200034055,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-01 12:35:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
225,DD20170816749300418231233563071,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-04 21:06:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
240,DD201708167493883790323715044,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-17 07:59:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
250,DD2017081674930263327749511651,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-19 18:05:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
253,DD2017081674930332587867592157,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-21 18:01:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
254,DD201708167493034892743290691,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-22 11:24:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
256,DD2017081674930368482767551259,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-23 01:49:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
257,DD2017081674930389920792099656,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-23 15:28:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
262,DD2017081674930434773278664817,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-25 13:00:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
265,DD201708167493529105048957333,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-27 11:21:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
272,DD2017081674930593854699234711,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-04-30 17:43:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
278,DD2017081674930648661849220542,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-02 14:52:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
279,DD2017081674930652044438019595,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-02 15:45:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
281,DD2017081674930679937086812862,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-05-03 12:10:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
283,DD2017081674930714014023507948,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-04 17:54:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
285,DD201708167493796041368398792,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-05-05 15:44:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
286,DD2017081674930750718911319339,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-05 18:29:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
289,DD2017081674930759116666387039,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-05-06 00:31:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
293,DD201708167493084104022030561,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-05-08 17:58:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
306,DD20170816749377600884334942,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-11 22:05:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
309,DD201708167493773961033574114,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-12 16:46:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
314,DD201708167493102046280942842,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-14 03:48:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
318,DD201708167493103838083096298,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-15 07:39:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
323,DD201708167493107274453849648,E43A6E078A04172,4.5,4.5,40g双汇玉米热狗肠,2017-05-16 00:11:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
324,DD20170816749310766116826404,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-16 01:58:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
327,DD201708167493113492004550766,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-17 23:52:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
333,DD201708167493115624844590541,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-19 02:25:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
336,DD201708167493742200723838883,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-19 13:24:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
340,DD201708167493729727381075957,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-19 21:47:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
343,DD201708167493726848018099463,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-20 11:04:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
352,DD201708167493132816478009188,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-22 13:34:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
354,DD201708167493133345535098908,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-22 16:29:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
361,DD20170816749314040455578516,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-23 15:58:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
371,DD201708167493148647192875564,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-25 03:29:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
372,DD201708167493708799113097631,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-25 10:16:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
374,DD201708167493150733094595742,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-25 13:38:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
377,DD20170816749316056271880047,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-05-26 18:29:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
383,DD201708167493164542313116367,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-05-27 13:11:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
384,DD201708167493695013717835204,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-27 13:35:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
392,DD201708167493169826933890945,E43A6E078A04172,4.5,4.5,40g双汇玉米热狗肠,2017-05-28 12:15:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
395,DD201708167493172193138719286,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-28 22:12:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
407,DD201708167493188120150352553,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-05-30 19:58:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
410,DD201708167493189180082421027,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-05-30 22:37:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
414,DD201708167493192532596348153,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-01 08:46:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
418,DD201708167493201093964181813,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-02 08:46:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
420,DD201708167493525320043738211,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-02 13:11:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
424,DD20170816749361145865229398,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-03 09:09:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
436,DD201708167493216042889382308,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-04 14:55:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
452,DD201708167493230076182029962,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-06 20:39:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
462,DD20170816749323521510142503,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-07 15:32:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
469,DD20170816749350338756777158,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-07 23:05:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
476,DD201708167493244103240824004,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-09 08:15:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
483,DD201708167493246935947310181,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-09 17:14:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
487,DD201708167493786339629202939,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-09 19:03:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
500,DD201708167493258504689134367,E43A6E078A04172,7.5,7.5,40g双汇玉米热狗肠,2017-06-11 07:18:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
515,DD201708167493902525315584625,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-11 21:14:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
520,DD201708167493266639185903767,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-11 23:14:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
522,DD201708167493267065787018119,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-12 02:42:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
558,DD201708167493283406251270175,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-14 21:56:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
561,DD201708167493286819146927733,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-15 12:08:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
576,DD201708167493294732735469202,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-16 14:28:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
579,DD201708167493643637926321532,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-16 16:26:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
588,DD201708167493536247565098722,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-18 10:41:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
590,DD201708167493640801768114835,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-18 16:17:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
595,DD201708167493312388208479715,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-19 12:18:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
600,DD201708167493323093904099572,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-20 23:49:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
601,DD201708167493324964425309907,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-21 08:26:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
603,DD201708167493325698677663413,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-21 10:49:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
611,DD20170816749349735199451829,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-24 15:06:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
613,DD201708167493477910515297899,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-24 17:29:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
627,DD201708167493362258900644613,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-27 15:19:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
629,DD201708167493366102375311093,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-06-28 07:31:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
630,DD201708167493416824121838154,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-28 12:15:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
644,DD201708167493382978710546078,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-06-30 17:26:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
651,DD201708167493450100531431845,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-07-01 00:53:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
659,DD201708167493463545278166704,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-07-04 20:12:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
660,DD201708167493451009452290349,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-07-08 09:31:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
669,DD201708167493206934853587716,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-07-24 16:25:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
681,DD2017081674930872306673194613,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-07-30 14:23:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
709,DD20170816749375931727912594,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-08-19 16:17:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
715,DD201708167493389440438699175,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-08-21 09:56:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
756,DD201708167493369291710728518,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-09-02 20:49:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
757,DD201708167493256112748841734,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-02 20:58:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
765,DD20170816749380011225758767,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-09-03 19:31:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
792,DD201708167493868481316183024,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-13 00:24:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
799,DD201708167493740627779665086,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-14 15:08:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
806,DD201708167493203843443344925,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-09-16 10:26:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
814,DD201708167493708617460192792,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-09-17 18:34:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
817,DD201708167493629717939712641,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-20 13:29:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
818,DD201708167493864980311502336,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-09-20 15:47:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
821,DD201708167493694776459194403,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-21 14:27:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
827,DD201708167493907533566447187,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-22 07:51:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
829,DD2017081674930377516550620196,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-22 14:40:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
834,DD201708167493195898545426631,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-23 16:39:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
846,DD2017081674930608988839837336,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-09-24 19:15:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
848,DD2017081674930829255802991451,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-25 11:41:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
852,DD201708167493659491124653708,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-27 09:05:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
854,DD201708167493605560391490889,E43A6E078A04172,4.5,4.5,40g双汇玉米热狗肠,2017-09-27 17:25:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
858,DD201708167493708296509630663,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-09-28 08:32:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
887,DD201708167493387954035185784,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-01 12:57:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
910,DD201708167493394444043740423,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-02 14:42:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
918,DD20170816749339705682451758,E43A6E078A04172,4.0,4.0,40g双汇玉米热狗肠,2017-10-02 19:20:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
957,DD201708167493424899274576213,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-06 17:05:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
962,DD201708167493430938832888604,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-07 17:34:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
969,DD201708167493441222618686827,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-09 17:34:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
970,DD201708167493443357387371428,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-10 00:57:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
976,DD201708167493446651086410581,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-10 15:49:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
979,DD201708167493448180021979185,E43A6E078A04172,2.0,2.0,40g双汇玉米热狗肠,2017-10-10 17:43:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
981,DD201708167493455205731224184,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-10-11 07:43:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
984,DD201708167493458795357228507,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-10-11 16:00:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
989,DD201708167493467153060625494,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-12 10:29:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
990,DD201708167493442587220429258,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-10-12 12:15:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
